baza_danych,RK,PC,RD,UDF,etykieta
mongodb,4,1,1.5,18_merge_join,0.17381087170611165
mongodb,4,1,1.5,16_large_agg,0.5038802300156118
mongodb,4,1,1.5,17_left_join,0.3414910255093855
mongodb,4,1,1.5,20_nested_loops,0.17539676784337851
mongodb,4,1,1.5,10_intersect,0.19706539010838897
mongodb,4,1,2.0,18_merge_join,0.15898727431046653
mongodb,4,1,2.0,16_large_agg,0.524616987690946
mongodb,4,1,2.0,17_left_join,0.3227831010580401
mongodb,4,1,2.0,20_nested_loops,0.16273930559303182
mongodb,4,1,2.0,10_intersect,0.1852177458299096
mongodb,4,3,1.0,18_merge_join,0.12403649418828754
mongodb,4,3,1.0,16_large_agg,0.5257613818993073
mongodb,4,3,1.0,17_left_join,0.40348397225201227
mongodb,4,3,1.0,20_nested_loops,0.15419928360620325
mongodb,4,3,1.0,10_intersect,0.16242194572457305
mongodb,4,3,1.5,18_merge_join,0.13825696526734133
mongodb,4,3,1.5,16_large_agg,0.529468063277769
mongodb,4,3,1.5,17_left_join,0.4043330211999512
mongodb,4,3,1.5,20_nested_loops,0.15397921413864363
mongodb,4,3,1.5,10_intersect,0.16225979192556608
mongodb,4,3,2.0,18_merge_join,0.14242162718459817
mongodb,4,3,2.0,16_large_agg,0.5205567918043947
mongodb,4,3,2.0,17_left_join,0.47026261653511886
mongodb,4,3,2.0,20_nested_loops,0.15179729878781525
mongodb,4,3,2.0,10_intersect,0.14017795375029907
mongodb,4,6,1.0,18_merge_join,0.14341624462576552
mongodb,4,6,1.0,16_large_agg,0.491792179156426
mongodb,4,6,1.0,17_left_join,0.30113963260072496
mongodb,4,6,1.0,20_nested_loops,0.1220245949313287
mongodb,4,6,1.0,10_intersect,0.14701778919667902
mongodb,4,6,1.5,18_merge_join,0.13203996092196238
mongodb,4,6,1.5,16_large_agg,0.48757950723893073
mongodb,4,6,1.5,17_left_join,0.29885884266290497
mongodb,4,6,1.5,20_nested_loops,0.15203492014504574
mongodb,4,6,1.5,10_intersect,0.15067039758531264
mongodb,4,6,2.0,18_merge_join,0.13222018061267504
mongodb,4,6,2.0,16_large_agg,0.48661451266219075
mongodb,4,6,2.0,17_left_join,0.29451668494076083
mongodb,4,6,2.0,20_nested_loops,0.15395175277631531
mongodb,4,6,2.0,10_intersect,0.15353605947098187
mongodb,4,9,1.0,18_merge_join,0.12785793009393726
mongodb,4,9,1.0,16_large_agg,0.476394293705436
mongodb,4,9,1.0,17_left_join,0.29339612531589404
mongodb,4,9,1.0,20_nested_loops,0.13110463451705032
mongodb,4,9,1.0,10_intersect,0.155831489111237
mongodb,4,9,1.5,18_merge_join,0.1308764985638119
mongodb,4,9,1.5,16_large_agg,0.48204681518236553
mongodb,4,9,1.5,17_left_join,0.31353625411060804
mongodb,4,9,1.5,20_nested_loops,0.13182166490271102
mongodb,4,9,1.5,10_intersect,0.15523129060146607
mongodb,4,9,2.0,18_merge_join,0.12497677533876214
mongodb,4,9,2.0,16_large_agg,0.4620495661954116
mongodb,4,9,2.0,17_left_join,0.28469180978955466
mongodb,4,9,2.0,20_nested_loops,0.13175218585829468
mongodb,4,9,2.0,10_intersect,0.1508534837333482
mongodb,5,1,1.0,18_merge_join,0.15751325760071302
mongodb,5,1,1.0,16_large_agg,0.5257905412894399
mongodb,5,1,1.0,17_left_join,0.32973066017805397
mongodb,5,1,1.0,20_nested_loops,0.20768927677913868
mongodb,5,1,1.0,10_intersect,0.18134937128112877
mongodb,5,1,1.5,18_merge_join,0.1667170156028097
mongodb,5,1,1.5,16_large_agg,0.5169635176794417
mongodb,5,1,1.5,17_left_join,0.27581132158826455
mongodb,5,1,1.5,20_nested_loops,0.2075610332945187
mongodb,5,1,1.5,10_intersect,0.1851857166526548
mongodb,5,1,2.0,18_merge_join,0.16840403821254238
mongodb,5,1,2.0,16_large_agg,0.5302152853180728
mongodb,5,1,2.0,17_left_join,0.3014340335666959
mongodb,5,1,2.0,20_nested_loops,0.26033178866224665
mongodb,5,1,2.0,10_intersect,0.19457946165173748
mongodb,5,3,1.0,18_merge_join,0.09337119455406206
mongodb,5,3,1.0,16_large_agg,0.49324543007111576
mongodb,5,3,1.0,17_left_join,0.3012558900974697
mongodb,5,3,1.0,20_nested_loops,0.12561593001009977
mongodb,5,3,1.0,10_intersect,0.17568656008694486
mongodb,5,3,1.5,18_merge_join,0.12430128156207157
mongodb,5,3,1.5,16_large_agg,0.488157766038187
mongodb,5,3,1.5,17_left_join,0.264595841024241
mongodb,5,3,1.5,20_nested_loops,0.1869071553974353
mongodb,5,3,1.5,10_intersect,0.17118564209254747
mongodb,5,3,2.0,18_merge_join,0.13163566677228106
mongodb,5,3,2.0,16_large_agg,0.51170870196869
mongodb,5,3,2.0,17_left_join,0.28704041631771554
mongodb,5,3,2.0,20_nested_loops,0.15746919697682243
mongodb,5,3,2.0,10_intersect,0.15188582935235104
mongodb,5,6,1.0,20_nested_loops,0.15035192968125308
mongodb,5,6,1.0,16_large_agg,0.5114514326449043
mongodb,5,6,1.0,10_intersect,0.13963220123509584
mongodb,5,6,1.0,18_merge_join,0.1321227594335393
